Rank	Query#	Scores	Document#	Snippet of text#	Valid ranks count
2	156	0.33	848	the effect of an internal compressible fluid column on the breathing vibrations of a thin pressurised cylindrical shell	513
3	156	0.32	908	random vibration	513
4	156	0.32	930	general theory of large deflections of thin shells with special applications to conical shells	513
5	156	0.3	1036	on transverse vibrations of thin shallow elastic shells	513
6	156	0.3	844	flexural vibrations of the walls of thin cylindrical shells having freely supported ends	513
7	156	0.27	739	the buckling of thin cylindrical shells under axial compression	513
8	156	0.26	890	comments on thermal buckling of clamped cylindrical shells	513
9	156	0.26	764	breathing vibrations of a circular shell with an internal liquid	513
10	156	0.26	1044	on the theory of thin elastic shells	513
*********************************************************************************
1	157	0.34	640	the design of structures to resist jet noise fatigue	861
2	157	0.25	909	the effect of jet noise on aircraft structures	861
3	157	0.24	725	the response of a typical aircraft structure to jet noise	861
4	157	0.24	883	correlated fatigue data for aircraft structural joints	861
5	157	0.2	51	theory of aircraft structural models subjected to aerodynamic heating and external loads	861
6	157	0.2	12	some structural and aerelastic considerations of high speed flight	861
7	157	0.18	137	the generation of sound by aerodynamic means	861
8	157	0.18	811	an investigation of lifting effects on the intensity of sonic booms	861
9	157	0.17	29	a simple model study of transient temperature and thermal stress distribution due to aerodynamic heating	861
10	157	0.16	1279	sublimation in a hypersonic environment	861
*********************************************************************************
1	158	0.57	75	studies of structural failure due to acoustic loading	448
2	158	0.55	724	structural acoustic proof testing	448
3	158	0.45	726	on structural fatigue under random loading	448
4	158	0.38	768	formulae for use with the fatigue load meter in the assessment of wing fatigue life	448
5	158	0.38	884	the estimation of fatigue damage on structural elements	448
6	158	0.36	720	a note on the use of sandwich structures in severe acoustic environments	448
7	158	0.35	883	correlated fatigue data for aircraft structural joints	448
8	158	0.34	1244	on the aerodynamic noise of a turbulent jet	448
9	158	0.29	640	the design of structures to resist jet noise fatigue	448
10	158	0.28	909	the effect of jet noise on aircraft structures	448
*********************************************************************************
1	160	0.53	658	review of panel flutter and effects of aerodynamic noise part i panel flutter	508
2	160	0.49	1008	freeflight measurements of the static and dynamic	508
3	160	0.49	857	experimental studies of flutter of buckled rectangular panels at mach numbers from 1 2 to 3 0 including effects of pressure differential and of panel widthlength ratio	508
4	160	0.49	856	some experimental studies of panel flutter at mach 1 3	508
5	160	0.44	627	flutter analysis of circular panels	508
6	160	0.43	391	flutter of rectangular simply supported panels at high supersonic speeds	508
7	160	0.42	859	flutter of aerodynamically heated aluminiumalloy and stainless steel panels with lengthwidth ratio of 10 at mach 3 0	508
8	160	0.4	864	status of flutter of flat and curved panels	508
9	160	0.38	766	experimental investigation at mach number of 3 0 of effects of thermal stress and buckling on flutter characteristics of flat singlebay panels of lengthwidth ratio 0 96	508
10	160	0.37	1392	the solution of small displacement stability or vibration problems concerning a flat rectangular panel when the edges are either clamped or simply supported	508
*********************************************************************************
1	161	0.38	862	the phenomenon of change in buckle pattern in elastic structures	695
2	161	0.27	642	the buckling strength of a uniform circular cylinder loaded in axial compression	695
3	161	0.26	1177	effects of rapid heating on strength of airframe components	695
4	161	0.25	926	post buckling behaviour of circular cylinderical shells under hydrostatic pressure	695
5	161	0.25	736	the bending of a wedge shaped plate	695
6	161	0.24	15	on twodimensional panel flutter	695
7	161	0.24	1398	stability of rectangular plates under shear and bending forces	695
8	161	0.24	1173	the buckling of cylindrical shells under longitudinally varying loads	695
9	161	0.23	424	cantilever plate with concentrated edge load	695
10	161	0.22	412	critical combinations of shear and transverse direct stress for an infinitely long flat plate with edges elastically restrained against rotation	695
*********************************************************************************
1	163	0.48	894	flutter of a two dimensional simply supported buckled panel with elastic restraint against edge displacement	884
2	163	0.45	856	some experimental studies of panel flutter at mach 1 3	884
3	163	0.42	1008	freeflight measurements of the static and dynamic	884
4	163	0.41	857	experimental studies of flutter of buckled rectangular panels at mach numbers from 1 2 to 3 0 including effects of pressure differential and of panel widthlength ratio	884
5	163	0.38	1131	the effect of axial constraint on the instability of thin conical shells under external pressure	884
6	163	0.38	766	experimental investigation at mach number of 3 0 of effects of thermal stress and buckling on flutter characteristics of flat singlebay panels of lengthwidth ratio 0 96	884
7	163	0.37	391	flutter of rectangular simply supported panels at high supersonic speeds	884
8	163	0.35	658	review of panel flutter and effects of aerodynamic noise part i panel flutter	884
9	163	0.34	859	flutter of aerodynamically heated aluminiumalloy and stainless steel panels with lengthwidth ratio of 10 at mach 3 0	884
10	163	0.33	858	experimental investigation at mach numbers 3 0 of the effects of thermal stress and buckling on the flutter of fourbay aluminium alloy panels with lengthwidth ratios of 10	884
*********************************************************************************
1	164	0.58	641	reduction of the clamped plate to two membrane problems with an application to uniformly loaded sectors	1059
2	164	0.44	730	on the bending of a clamped plate	1059
3	164	0.38	955	the membrane approach to bending instability of pressureized cylindrical shells	1059
4	164	0.38	1045	the bending strength of pressurized cylinders	1059
5	164	0.31	735	the bending of uniformly loaded sectorial plates with clamped edges	1059
6	164	0.29	733	the bending of a sectorial plate	1059
7	164	0.28	736	the bending of a wedge shaped plate	1059
8	164	0.27	840	analysis of partly wrinkled membrane	1059
9	164	0.22	1054	iterative solutions for the nonlinear bending of circular plates	1059
10	164	0.21	647	bending of a uniformly loaded rectangular plate with two adjacent edges and the others either simply supported or free	1059
*********************************************************************************
1	165	0.3	716	study of the oscillatory motion of manned vehicles entering the earths atmosphere	976
2	165	0.23	1272	oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory	976
3	165	0.23	594	wind tunnel techniques for the measurements of oscillatory derivatives	976
4	165	0.22	265	some instabilities arising from the interaction between shock waves and boundary layer	976
5	165	0.2	801	experimental study of the equivalence of transonic flow about slender conecylinders of circular and elliptic cross section	976
6	165	0.2	467	thin airfoil theory based on approximate solution of the transonic flow equation	976
7	165	0.2	638	longitudinal aerodynamic characteristics at low subsonic speeds of a highly swept wing utilizing nose deflection for control	976
8	165	0.2	815	investigation of several blunt bodies to determine trans onic aerodynamic characteristics including effects of spinning and of extendible afterbody flaps and some measurements of unsteady base pressures	976
9	165	0.19	368	some problems of polar missile control	976
10	165	0.19	748	subsonic aerodynamic flutter derivatives for wings and control surfaces compressible and incompressible flow	976
*********************************************************************************
1	167	0.51	895	the airforces on the low aspect ratio rectangular wing oscillating in sonic flow	1166
2	167	0.22	712	lowspeed longitudinal aerodynamic characteristics associated with a series of lowaspect ratio wings having variations in leadingedge contour	1166
3	167	0.19	918	on the low aspect ratio oscillating rectangular wing in supersonic flow	1166
4	167	0.18	699	approximate indical lift functions for several wings of finite span in incompressible flow as obtained from oscillatory lift coefficients	1166
5	167	0.18	919	theoretical studies of unsteady transonic flow part iii the oscillating low aspect ratio rectangular wing	1166
6	167	0.16	1290	measured and calculated subsonic and transonic flutter characteristics of a 45 sweptback wing planform in air and in freon12 in the langley transonic dynamics tunnel	1166
7	167	0.16	917	a method of calculating the short period longitudinal stability derivatives of a wing in linearised unsteady compressible flow	1166
8	167	0.14	779	calculation and compilation of the unsteady lift functions for a rigid wing subjected to sinusoidal gusts and to sinusoidal sinking oscillations	1166
9	167	0.14	207	laminar boundary layer oscillations and transition on a flat plate	1166
10	167	0.13	676	a simple method for calculating the span and chordwise loading on straight and swept wings of any aspect ratio at subsonic speeds	1166
*********************************************************************************
1	168	0.19	746	aeroelastic problems in connection with high speed flight	1212
2	168	0.19	422	bending of a square plate with two adjacent edges free and the others clamped or simply supported	1212
3	168	0.12	540	use of local similarity concepts in hypersonic viscous interaction problems	1212
4	168	0.11	12	some structural and aerelastic considerations of high speed flight	1212
5	168	0.1	320	comment on improved numerical solution of the blasius problem with threepoint boundary conditions	1212
6	168	0.1	14	piston theory a new aerodynamic tool for the aeroelastician	1212
7	168	0.1	875	models for aeroelastic investigation	1212
8	168	0.08	13	similarity laws for stressing heated wings	1212
9	168	0.08	371	note on tipbluntness effects in the supersonic and hypersonic regimes	1212
10	168	0.08	435	application of similar solutions to calculations of laminar heat transfer on bodies with yaw and large pressure gradients in high speed flow	1212
*********************************************************************************
1	169	0.3	801	experimental study of the equivalence of transonic flow about slender conecylinders of circular and elliptic cross section	653
2	169	0.2	48	supersonic flow at the surface of a circular cone at angle of attack	653
3	169	0.19	186	base pressure in supersonic flow	653
4	169	0.18	1038	on transverse vibrations of thin shallow elastic shells	653
5	169	0.18	225	elliptic cones alone and with wings at supersonic speeds	653
6	169	0.17	1106	freeflight observation of a separated turbulent flow including heat transfer up to mach 8 5	653
7	169	0.15	522	laminar transitional and turbulent heat transfer to a conecylinderflare body at mach 8 0	653
8	169	0.15	1303	air pressure on a cone moving at high speeds	653
9	169	0.14	1074	theoretical and experimental investigation of secondorder supersonic wingbody interference	653
10	169	0.13	423	an experimental investigation of the flow over bluntnosed cones at a mach number of 5 8	653
*********************************************************************************
1	170	0.24	189	experimental investigation of base pressure on blunttrailingedge wings of supersonic velocities	660
2	170	0.21	282	jet effects on base pressure of conical afterbodies at mach 1 91 and 3 12	660
3	170	0.2	1304	newtonian flow over a surface	660
4	170	0.19	196	pressure distributions axially symmetric bodies in oblique flow	660
5	170	0.16	122	a simplified approximate method for the calculation of the pressure around conical bodies of arbitrary shape in supersonic and hypersonic flow	660
6	170	0.16	242	an approximate theory of base pressure in two dimensional flow at supersonic speeds	660
7	170	0.15	925	factors affecting loads at hypersonic speeds	660
8	170	0.15	440	compilation of information on the transonic attachment of flows at the leading edge of airfoils	660
9	170	0.14	203	calculated velocity distributions and force derivatives for a series of highspeed aerofoils	660
10	170	0.14	927	investigation of normal force distributions and wake vortex characteristics of bodies of revolution at supersonic speeds	660
*********************************************************************************
1	171	0.58	246	the design of minimum drag tip fins with an appendix on the conformal transformation of a wing with a fin	834
2	171	0.34	610	corner interference effects	834
3	171	0.32	803	the shock pattern of a wingbody combination far from the flight path	834
4	171	0.3	520	wingtail interference as a cause of magnus effects on a finned missile	834
5	171	0.26	1074	theoretical and experimental investigation of secondorder supersonic wingbody interference	834
6	171	0.23	1239	body under lifting wing	834
7	171	0.22	1062	an experimental and theoretical investigation of secondorder wingbody interference at high mach number	834
8	171	0.22	1075	an experimental and theoretical investigation of secondorder supersonic wingbody interference for a nonlifting body with wings at incidence	834
9	171	0.22	923	methods for estimating lift interference of wingbody combinations at supersonic speeds	834
10	171	0.22	924	a method for calculating the lift and centre of pressure of wingbodytail combinations at subsonic transonic speeds	834
*********************************************************************************
1	173	0.21	928	a new theory for the buckling of thin cylinders under axial compression and bending	1025
2	173	0.17	781	use of subsonic kernel function in an influencecoefficient method of aeroelastic analysis and some comparisons with experiment	1025
3	173	0.16	1116	general instability of stiffened cylinders	1025
4	173	0.16	938	calculations for the stability of thin conical frustums subjected to external uniform hydrostatic pressure and axial loads	1025
5	173	0.16	1331	calculated responses of a large sweptwing airplane to continuous turbulence with flighttest comparisons	1025
6	173	0.15	897	some results on buckling and postbuckling of cylindrical shells	1025
7	173	0.15	1133	a simple extension of southwells method for determining the elastic general instability pressure of ringstiffened cylinders subject to external hydrostatic pressure	1025
8	173	0.15	1068	instability analysis of cylindrical shells under hydrostatic pressure	1025
9	173	0.15	926	post buckling behaviour of circular cylinderical shells under hydrostatic pressure	1025
10	173	0.14	1070	buckling of orthotropic and stiffened conical shells	1025
*********************************************************************************
1	175	0.39	769	local circumferential buckling of thin circular cylindrical shells	775
2	175	0.38	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	775
3	175	0.3	1146	thermal buckling of cylinders	775
4	175	0.29	890	comments on thermal buckling of clamped cylindrical shells	775
5	175	0.24	739	the buckling of thin cylindrical shells under axial compression	775
6	175	0.22	886	thermal buckling of clamped cylindrical shells	775
7	175	0.22	897	some results on buckling and postbuckling of cylindrical shells	775
8	175	0.22	885	buckling of thin cylindrical shells under hoop stresses varying in axial direction	775
9	175	0.21	741	the behaviour of thin cylindrical shells after buckling under axial compression	775
10	175	0.21	1068	instability analysis of cylindrical shells under hydrostatic pressure	775
*********************************************************************************
1	176	0.44	1146	thermal buckling of cylinders	599
2	176	0.34	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	599
3	176	0.3	769	local circumferential buckling of thin circular cylindrical shells	599
4	176	0.27	888	combinations of temperature and axial compression required for buckling of a ringstiffened cylinder	599
5	176	0.24	1178	buckling of ringstiffened cylinders under a pure bending moment and a nonuniform temperature distribution	599
6	176	0.24	31	thermal buckling of supersonic wing panels	599
7	176	0.23	925	factors affecting loads at hypersonic speeds	599
8	176	0.23	1177	effects of rapid heating on strength of airframe components	599
9	176	0.22	890	comments on thermal buckling of clamped cylindrical shells	599
10	176	0.2	1056	axisymmetric large deflections of circular plates subjected to thermal and mechanical load	599
*********************************************************************************
1	177	0.45	1070	buckling of orthotropic and stiffened conical shells	1089
2	177	0.42	898	a survey of buckling theory and experiment for circular conical shells of constant thickness	1089
3	177	0.36	930	general theory of large deflections of thin shells with special applications to conical shells	1089
4	177	0.28	938	calculations for the stability of thin conical frustums subjected to external uniform hydrostatic pressure and axial loads	1089
5	177	0.26	1059	the nonlinear conical spring	1089
6	177	0.26	934	stability of cylindrical and conical shells of circular cross section with simultaneous action of axial compression and external normal pressure	1089
7	177	0.26	1071	stability of thin torispherical shells under uniform internal pressure	1089
8	177	0.25	931	stability equations for conical shells	1089
9	177	0.25	935	buckling of thin single and multilayer conical and cylindrical shells with rotationally symmetric stresses	1089
10	177	0.24	1058	the conical disk spring	1089
*********************************************************************************
1	181	0.53	941	viscous compressible and incompressible flow in slender channels	979
2	181	0.32	1221	steady flow of conducting fluids in channels under transverse magnetic fields with consideration of hall effect	979
3	181	0.26	270	on combined free and forced convection laminar magnetohydrodynamic flow and heat transfer in channels with transverse magnetic field	979
4	181	0.23	112	steady motion of conducting fluids in pipes under transverse magnetic fields	979
5	181	0.21	966	on fully developed channel flows some solutions and limitations and effects of compressibility variable properties and body forces	979
6	181	0.19	34	constanttemperature magnetogasdynamic channel flow	979
7	181	0.17	491	on the close relationship between turbulent planecouette and pressure flows	979
8	181	0.16	1222	axisymmetric magnetohydrodynamic channel flow	979
9	181	0.15	537	stagnation point viscous hypersonic flow	979
10	181	0.15	775	studies on two dimensional flows of compressible fluid	979
*********************************************************************************
1	182	0.48	941	viscous compressible and incompressible flow in slender channels	1323
2	182	0.28	1070	buckling of orthotropic and stiffened conical shells	1323
3	182	0.25	898	a survey of buckling theory and experiment for circular conical shells of constant thickness	1323
4	182	0.22	930	general theory of large deflections of thin shells with special applications to conical shells	1323
5	182	0.2	934	stability of cylindrical and conical shells of circular cross section with simultaneous action of axial compression and external normal pressure	1323
6	182	0.19	270	on combined free and forced convection laminar magnetohydrodynamic flow and heat transfer in channels with transverse magnetic field	1323
7	182	0.19	1221	steady flow of conducting fluids in channels under transverse magnetic fields with consideration of hall effect	1323
8	182	0.19	938	calculations for the stability of thin conical frustums subjected to external uniform hydrostatic pressure and axial loads	1323
9	182	0.18	1153	a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel	1323
10	182	0.18	1171	the stability under axial compression and lateral pressure of circular cylindrical shells with a soft elastic core	1323
*********************************************************************************
1	183	0.34	997	experimental and theoretical studies of axisymmetric free jets	1033
2	183	0.33	610	corner interference effects	1033
3	183	0.28	1083	an investigation of fluid flow in two dimensions	1033
4	183	0.28	176	base pressure at subsonic speeds in the presence of a supersonic jet	1033
5	183	0.27	1195	experiments with twodimensional transversely impinging jets	1033
6	183	0.24	993	the extent of the jet interference flow fields jet effects on cylindrical afterbodies housing sonic and supersonic nozzles which exhaust against a supersonic stream at angles of attack from 90degree to 180degree	1033
7	183	0.22	519	base pressure at supersonic speeds in the presence of a supersonic jet	1033
8	183	0.22	695	some experiments relating to the problem of simulation of hot jet engines in studies of jet effects on adjacent surfaces at a freestream mach number of 180	1033
9	183	0.22	1352	aerodynamic investigation of a parabolic body of revolution at mach number of 1 92 and some effects of an annular supersonic jet exhausting from the base	1033
10	183	0.21	245	the ground effect on the jet flap in two dimensions	1033
*********************************************************************************
1	184	0.33	1288	analysis of the fluid mechanics of secondary injection for thrust vector control	436
2	184	0.32	974	approximate analysis of thrust vector control by fluid injection	436
3	184	0.32	1095	investigation of effectiveness of largechord slotted flaps in deflecting propeller slipstreams downward for vertical takeoff and lowspeed flight	436
4	184	0.29	1326	interaction of secondary injectants and rocket exhaust for thrust vector control	436
5	184	0.27	1083	an investigation of fluid flow in two dimensions	436
6	184	0.25	1265	on the thrust hypothesis for the jet flap including jetmixing effects	436
7	184	0.24	397	a sublayer for fluid injection into the incompressible turbulent boundary layer	436
8	184	0.22	1237	foreigngas injection into a compressible turbulent boundary layer on a flat plate	436
9	184	0.21	773	q app math 7 1950 381 experiments on porouswall cooling and flow separation control in a supersonic nozzle	436
10	184	0.21	628	thermal effects on a transpiration cooled hemisphere	436
*********************************************************************************
1	187	0.31	6	onedimensional transient heat flow in a multilayer slab	1017
2	187	0.3	5	onedimensional transient heat conduction into a doublelayer slab subjected to a linear heat input for a small time internal	1017
3	187	0.21	75	studies of structural failure due to acoustic loading	1017
4	187	0.21	869	the calculation of transient temperature in turbine blades and tapered discs using biots variational method	1017
5	187	0.18	158	temperature charts for induction and constant temperature heating	1017
6	187	0.17	587	variational analysis of ablation	1017
7	187	0.15	981	solutions to the heatconduction equation with time dependent boundary conditions	1017
8	187	0.14	1317	shocktube testing time	1017
9	187	0.14	944	one dimensional heat conduction through the skin of a vehicle upon entering a planetary atmosphere at constant velocity and entry angle	1017
10	187	0.13	582	the melting of finite slabs	1017
*********************************************************************************
1	189	0.51	945	method for design of pump impellers using a high speed digital computer	612
2	189	0.3	1063	on obtaining solutions to the navierstokes equations with high speed digital computers	612
3	189	0.25	988	nonviscous flow through a pump impeller on a bladetoblade surface of revolution	612
4	189	0.24	745	an automatic method for finding the greatest or least value function	612
5	189	0.21	92	the analysis of redundant structures by the use of highspeed digital computers	612
6	189	0.21	248	the application of lighthill formula for numerical calculation of pressure distributions on bodies of revolution at supersonic speed and zero angle of attack	612
7	189	0.18	1219	determination of lift or drag programs to minimize reentry heating	612
8	189	0.15	1087	convergence rates of iterative treatments of partial differential equations	612
9	189	0.14	111	the laminar boundary layer equation a method of solution by means of an automatic computer	612
10	189	0.13	989	incompressible nonviscous bladetoblade flow through a pump rotor with splitter vanes	612
*********************************************************************************
1	190	0.43	945	method for design of pump impellers using a high speed digital computer	1028
2	190	0.39	988	nonviscous flow through a pump impeller on a bladetoblade surface of revolution	1028
3	190	0.2	989	incompressible nonviscous bladetoblade flow through a pump rotor with splitter vanes	1028
4	190	0.16	987	a general theory of three dimensional flow in subsonic and supersonic turbomachines of axialradialand mixedflow types	1028
5	190	0.16	1281	turbulent heat transfer on bluntnosed bodies in twodimensional and general threedimensional hypersonic flow	1028
6	190	0.14	36	supersonic flow around blunt bodies	1028
7	190	0.12	1220	boundary layer transition in the presence of streamwise vortices	1028
8	190	0.1	985	a rapid approximate method for the design of hub shroud profiles of centrifugal impellers of given blade shape	1028
9	190	0.1	336	simplified laminar boundary layer calculations for bodies of revolution and for yawed wings	1028
10	190	0.1	3	the boundary layer in simple shear flow past a flat plate	1028
*********************************************************************************
1	196	0.45	948	panel flutter tests on full scale x15 lower vertical stabilizer at mach number of 3 0	714
2	196	0.42	859	flutter of aerodynamically heated aluminiumalloy and stainless steel panels with lengthwidth ratio of 10 at mach 3 0	714
3	196	0.37	766	experimental investigation at mach number of 3 0 of effects of thermal stress and buckling on flutter characteristics of flat singlebay panels of lengthwidth ratio 0 96	714
4	196	0.35	856	some experimental studies of panel flutter at mach 1 3	714
5	196	0.34	391	flutter of rectangular simply supported panels at high supersonic speeds	714
6	196	0.33	1008	freeflight measurements of the static and dynamic	714
7	196	0.3	658	review of panel flutter and effects of aerodynamic noise part i panel flutter	714
8	196	0.3	857	experimental studies of flutter of buckled rectangular panels at mach numbers from 1 2 to 3 0 including effects of pressure differential and of panel widthlength ratio	714
9	196	0.28	858	experimental investigation at mach numbers 3 0 of the effects of thermal stress and buckling on the flutter of fourbay aluminium alloy panels with lengthwidth ratios of 10	714
10	196	0.25	864	status of flutter of flat and curved panels	714
*********************************************************************************
1	200	0.56	1021	note on creep buckling of columns	959
2	200	0.5	1023	note on creep buckling of columns	959
3	200	0.43	1026	note on creep buckling of columns	959
4	200	0.41	1025	note on creep buckling of columns	959
5	200	0.4	952	study of creep collapse of a long circular cylindrical shell under various distributed force systems	959
6	200	0.4	1012	principles of creep buckling weightstrength analysis of aircraft structures	959
7	200	0.38	1015	principles of creep buckling weightstrength analysis	959
8	200	0.37	950	comparison of theoretical and experimental creep buckling times of initially straight centrally loaded columns	959
9	200	0.35	1017	note on creep buckling of columns	959
10	200	0.34	1024	note on creep buckling of columns	959
*********************************************************************************
1	201	0.54	1026	note on creep buckling of columns	501
2	201	0.52	1015	principles of creep buckling weightstrength analysis	501
3	201	0.52	1013	principles of creep buckling weightstrength analysis	501
4	201	0.49	1021	note on creep buckling of columns	501
5	201	0.48	1023	note on creep buckling of columns	501
6	201	0.46	1028	note on creep buckling of columns	501
7	201	0.44	1014	principles of creep buckling weightstrength analysis	501
8	201	0.42	951	a unified theory of creep buckling under normal loads	501
9	201	0.38	1017	note on creep buckling of columns	501
10	201	0.37	1012	principles of creep buckling weightstrength analysis of aircraft structures	501
*********************************************************************************
1	202	0.56	1026	note on creep buckling of columns	582
2	202	0.54	1015	principles of creep buckling weightstrength analysis	582
3	202	0.53	1013	principles of creep buckling weightstrength analysis	582
4	202	0.5	1023	note on creep buckling of columns	582
5	202	0.47	1028	note on creep buckling of columns	582
6	202	0.45	951	a unified theory of creep buckling under normal loads	582
7	202	0.45	1014	principles of creep buckling weightstrength analysis	582
8	202	0.42	1021	note on creep buckling of columns	582
9	202	0.38	1012	principles of creep buckling weightstrength analysis of aircraft structures	582
10	202	0.36	1029	note on creep buckling of columns	582
*********************************************************************************
1	203	0.34	1015	principles of creep buckling weightstrength analysis	988
2	203	0.32	951	a unified theory of creep buckling under normal loads	988
3	203	0.31	1026	note on creep buckling of columns	988
4	203	0.3	1013	principles of creep buckling weightstrength analysis	988
5	203	0.29	1028	note on creep buckling of columns	988
6	203	0.28	1023	note on creep buckling of columns	988
7	203	0.27	1014	principles of creep buckling weightstrength analysis	988
8	203	0.24	1012	principles of creep buckling weightstrength analysis of aircraft structures	988
9	203	0.24	1021	note on creep buckling of columns	988
10	203	0.2	1024	note on creep buckling of columns	988
*********************************************************************************
1	204	0.74	1026	note on creep buckling of columns	845
2	204	0.62	1023	note on creep buckling of columns	845
3	204	0.62	1017	note on creep buckling of columns	845
4	204	0.61	1015	principles of creep buckling weightstrength analysis	845
5	204	0.57	1012	principles of creep buckling weightstrength analysis of aircraft structures	845
6	204	0.56	1013	principles of creep buckling weightstrength analysis	845
7	204	0.56	951	a unified theory of creep buckling under normal loads	845
8	204	0.55	1029	note on creep buckling of columns	845
9	204	0.51	1024	note on creep buckling of columns	845
10	204	0.49	1014	principles of creep buckling weightstrength analysis	845
*********************************************************************************
1	205	0.37	951	a unified theory of creep buckling under normal loads	980
2	205	0.35	1026	note on creep buckling of columns	980
3	205	0.34	1015	principles of creep buckling weightstrength analysis	980
4	205	0.34	1013	principles of creep buckling weightstrength analysis	980
5	205	0.32	1021	note on creep buckling of columns	980
6	205	0.31	1023	note on creep buckling of columns	980
7	205	0.31	1033	the design of tubes under uniform external pressure on the basis of assumed inaccuracies	980
8	205	0.3	521	a note on application of transonic linearization to an airfoil with a round leading edge	980
9	205	0.3	1028	note on creep buckling of columns	980
10	205	0.29	1014	principles of creep buckling weightstrength analysis	980
*********************************************************************************
1	206	0.5	952	study of creep collapse of a long circular cylindrical shell under various distributed force systems	974
2	206	0.33	1023	note on creep buckling of columns	974
3	206	0.32	1021	note on creep buckling of columns	974
4	206	0.29	1026	note on creep buckling of columns	974
5	206	0.23	955	the membrane approach to bending instability of pressureized cylindrical shells	974
6	206	0.23	1034	note on creep buckling of columns	974
7	206	0.2	826	small bending and stretching of sandwich type shells	974
8	206	0.19	1024	note on creep buckling of columns	974
9	206	0.19	897	some results on buckling and postbuckling of cylindrical shells	974
10	206	0.18	743	new developments in the nonlinear theories of the buckling of thin cylindrical shells	974
*********************************************************************************
1	208	0.49	847	experimental study of the vibrations of a circular cylindrical shell	952
2	208	0.46	953	vibrations of infinitely long cylindrical shells under initial stress	952
3	208	0.4	844	flexural vibrations of the walls of thin cylindrical shells having freely supported ends	952
4	208	0.39	848	the effect of an internal compressible fluid column on the breathing vibrations of a thin pressurised cylindrical shell	952
5	208	0.37	897	some results on buckling and postbuckling of cylindrical shells	952
6	208	0.35	846	on the vibration of thin cylindrical shells under internal pressure	952
7	208	0.33	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	952
8	208	0.31	764	breathing vibrations of a circular shell with an internal liquid	952
9	208	0.31	1068	instability analysis of cylindrical shells under hydrostatic pressure	952
10	208	0.3	890	comments on thermal buckling of clamped cylindrical shells	952
*********************************************************************************
1	209	0.43	847	experimental study of the vibrations of a circular cylindrical shell	1096
2	209	0.37	897	some results on buckling and postbuckling of cylindrical shells	1096
3	209	0.35	844	flexural vibrations of the walls of thin cylindrical shells having freely supported ends	1096
4	209	0.33	848	the effect of an internal compressible fluid column on the breathing vibrations of a thin pressurised cylindrical shell	1096
5	209	0.32	953	vibrations of infinitely long cylindrical shells under initial stress	1096
6	209	0.31	846	on the vibration of thin cylindrical shells under internal pressure	1096
7	209	0.31	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	1096
8	209	0.3	826	small bending and stretching of sandwich type shells	1096
9	209	0.28	1038	on transverse vibrations of thin shallow elastic shells	1096
10	209	0.26	764	breathing vibrations of a circular shell with an internal liquid	1096
*********************************************************************************
1	210	0.52	954	analysis of stress at several junctions in pressurized shells	689
2	210	0.28	922	supersonic flow past slender bodies of revolution slope of whose median section is discontinuous	689
3	210	0.25	1038	on transverse vibrations of thin shallow elastic shells	689
4	210	0.24	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	689
5	210	0.21	146	supersonic flow past slender bodies with discontinuous profile slope	689
6	210	0.21	890	comments on thermal buckling of clamped cylindrical shells	689
7	210	0.2	1039	on transverse vibrations of thin shallow elastic shells	689
8	210	0.17	726	on structural fatigue under random loading	689
9	210	0.17	870	effect of rheological behaviour on thermal stresses	689
10	210	0.16	729	stresses in continuous skin stiffener panels under random loading	689
*********************************************************************************
1	211	0.3	1038	on transverse vibrations of thin shallow elastic shells	653
2	211	0.23	930	general theory of large deflections of thin shells with special applications to conical shells	653
3	211	0.21	890	comments on thermal buckling of clamped cylindrical shells	653
4	211	0.21	1043	on transverse vibrations of thin shallow elastic shells	653
5	211	0.18	889	a simplified method of elastic stability analysis for thin cylindrical shells	653
6	211	0.18	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	653
7	211	0.18	1044	on the theory of thin elastic shells	653
8	211	0.18	826	small bending and stretching of sandwich type shells	653
9	211	0.17	885	buckling of thin cylindrical shells under hoop stresses varying in axial direction	653
10	211	0.17	1071	stability of thin torispherical shells under uniform internal pressure	653
*********************************************************************************
1	212	0.32	827	a nonlinear theory of bending and buckling of thin elastic shallow spherical shells	683
2	212	0.29	954	analysis of stress at several junctions in pressurized shells	683
3	212	0.16	887	buckling due to thermal stress of cylindrical shells subjected to axial temperature distributions	683
4	212	0.15	922	supersonic flow past slender bodies of revolution slope of whose median section is discontinuous	683
5	212	0.13	1135	limit analysis of symmetrically loaded thin shells of revolution	683
6	212	0.13	1134	torispherical shells a caution to designers	683
7	212	0.13	1136	design of thin walled torispherical and toriconical pressure vessel heads	683
8	212	0.13	1009	freeflight measurements of the static and dynamic	683
9	212	0.12	1125	collapse by instability of thin cylindrical shells under external pressure	683
10	212	0.11	741	the behaviour of thin cylindrical shells after buckling under axial compression	683
*********************************************************************************
1	213	0.46	930	general theory of large deflections of thin shells with special applications to conical shells	1013
